plot,row,tree,dbh,ht_m,ht_source
1,1,1,15.447977213862014,26.823600416954157,estimated
1,1,2,14.194365079143203,25.30530731868092,estimated
1,1,3,12.493598360760602,23.176633969078573,estimated
1,2,4,19.493588689617926,31.48235696838897,estimated
1,2,5,7.946068210127572,16.97227927225906,estimated
1,2,6,18.034411551253896,29.840334733314076,estimated
1,2,7,16.495150802584376,28.062615061598464,estimated
1,2,8,16.837458240482736,28.462269643929424,estimated
1,2,9,15.99874995116806,27.47842721301711,estimated
1,3,10,15.12613632095123,27.3,measured
1,3,11,10.248902380255165,18.2,measured
1,3,12,15.047923444781343,29.2,measured
1,3,13,16.343806166251483,30.0,measured
1,3,14,18.920887928424502,31.5,measured
1,3,15,14.396874660842192,26.0,measured
1,3,16,13.215899515356494,26.2,measured
1,4,17,16.923356641044943,30.5,measured
1,4,18,18.186533479473212,30.2,measured
1,4,19,16.389020715100706,29.0,measured
1,4,20,17.34358671094304,29.2,measured
1,4,21,19.135307679783985,31.5,measured
1,4,22,16.33278910657944,29.3,measured
1,5,25,17.4928556845359,30.5,measured
1,5,26,15.797151641989135,27.5,measured
1,5,27,20.18415219918835,31.5,measured
1,5,28,13.434284498997332,25.2,measured
1,5,29,17.476841819962782,30.5,measured
1,5,30,16.885496735364345,29.3,measured
1,6,31,12.085114811204733,22.652230431131123,estimated
1,6,32,18.239736840206877,30.07382413770348,estimated
1,6,33,12.745195173083856,23.496969785241763,estimated
1,6,34,12.227019260637483,22.83502162949688,estimated
1,6,35,19.94241710525582,31.97963703825468,estimated
1,6,36,13.7,24.695181326786393,estimated
1,7,37,9.195107394696377,18.766910512102662,estimated
1,7,38,20.142492397913422,32.2001849816408,estimated
1,7,39,20.6990337938755,32.810117645762645,estimated
2,1,1,15.946159412222118,27.41620776946798,estimated
2,1,2,16.889345754054535,28.52262803823384,estimated
2,2,3,7.848566748139434,16.82862359596885,estimated
2,2,4,15.491933384829668,26.876125055462467,estimated
2,2,5,12.489995996796797,23.17203288709647,estimated
2,2,6,18.393205267163196,30.24780910415726,estimated
2,2,7,17.69745744450315,29.455357550792986,estimated
2,2,8,17.949373248110923,29.74338963183483,estimated
2,3,9,19.635681806344284,29.5,measured
2,3,10,12.699606293110035,23.5,measured
2,3,11,18.39,27.2,measured
2,3,12,12.945269406234852,23.2,measured
2,3,13,11.047171583713181,21.5,measured
2,3,14,19.59770394714646,29.5,measured
2,4,15,12.398386991863095,25.0,measured
2,4,16,13.498518437221176,25.5,measured
2,4,17,18.630619957478604,30.0,measured
2,4,18,18.5,29.0,measured
2,4,19,17.297398648351724,29.0,measured
2,4,20,14.2492105044455,25.2,measured
2,5,21,16.349311912126456,26.5,measured
2,5,22,15.399675321252719,26.5,measured
2,5,23,17.741476826916074,29.5,measured
2,5,24,16.349311912126456,27.7,measured
2,5,25,11.498260738042081,21.0,measured
2,6,26,15.997187252764157,27.476579316485466,estimated
2,6,27,19.44222209522358,31.425219014118493,estimated
2,6,28,9.599479152537391,19.331298691662244,estimated
2,6,29,19.78383178254405,31.804334479474413,estimated
2,6,30,14.839811319555247,26.09202485749064,estimated
2,6,31,16.236994795835834,27.759499082758555,estimated
2,6,32,15.749285698088025,27.182717939728864,estimated
2,7,33,15.899685531481433,27.361171672093896,estimated
2,7,34,18.59758048779464,30.478805994974,estimated
2,7,35,9.499473669630333,19.192420324028394,estimated
2,7,36,18.344481459011046,30.192620787161818,estimated
3,1,1,9.595311355031686,19.325519868566015,estimated
3,1,2,14.987995196156156,26.2711255791265,estimated
3,1,3,16.685322891691367,28.284962433205692,estimated
3,1,4,16.475436261295176,28.039519450270088,estimated
3,2,5,12.945269406234852,23.750302111984873,estimated
3,2,6,13.934848402476433,24.985862422192685,estimated
3,2,7,16.29232948353304,27.82459642204766,estimated
3,2,8,16.24623033198779,27.77036883564133,estimated
3,2,9,13.449163542763543,24.382991216268344,estimated
3,2,10,13.598529332247661,24.56910759971676,estimated
3,3,11,13.796738745080303,24.5,measured
3,3,12,18.89338508579127,30.5,measured
3,3,13,13.249905660041508,24.5,measured
3,3,14,16.532997308413258,29.2,measured
3,3,15,16.981166037701886,29.2,measured
3,3,16,17.84432682955566,30.0,measured
3,3,17,12.949131244990916,24.0,measured
3,4,18,16.298772959950085,29.0,measured
3,4,19,17.437889780589853,30.0,measured
3,4,20,17.64652940382329,30.0,measured
3,4,22,17.586074036009286,29.0,measured
3,4,23,13.198484761517134,25.2,measured
3,4,24,17.99972222007884,30.0,measured
3,4,25,11.69829047339824,20.5,measured
3,5,26,13.745544732748863,25.5,measured
3,5,27,11.998333217576516,23.4,measured
3,5,28,16.180234856144704,26.5,measured
3,5,29,10.248902380255165,17.7,measured
3,5,30,17.82105496316085,29.5,measured
3,6,32,8.748714191239761,18.13480958166956,estimated
